program_id,school_name,city,state,degree_type,program_url,url_status,search_attempts,url_confidence,discovered_url,manual_url,discovered_url_2,search_query_used,scrape_notes,estimated_year,reviewer_notes
313,University of Central Arkansas,,Arkansas,OTD,,url_found_low_confidence,3,low,https://uca.edu/accreditation/files/2016/09/hlc17-5-assessment-a-students-0001.pdf,,https://uca.edu/ot/program-outcomes/,University of Central Arkansas Doctor of Occupational Therapy Publication of Program Outcomes,,2016,
384,Louisiana State University Health New Orleans,,Louisiana,MOT,,url_found_low_confidence,3,low,https://alliedhealth.lsuhsc.edu/ot/docs/StudentOutcomeswithGraduationRate.pdf?2022,,https://healthcaredegreesearch.com/colleges/louisiana-state-university-health-sciences-center-new-orleans/rehabilitation-professions/occupational-therapy/,Louisiana State University Health New Orleans Master of Occupational Therapy Publication of Program Outcomes,,2022,
388,University of Southern Maine at Lewiston-Auburn College,,Maine,MOT,,url_found_low_confidence,3,low,https://usm.maine.edu/accreditation/wp-content/uploads/sites/535/2022/12/NECHE_NEASC-2018-Progress-Report-Final.pdf,,https://usm.maine.edu/occupational-therapy/elotd-graduation-and-nbcot-pass-rates/,University of Southern Maine at Lewiston-Auburn College Master of Occupational Therapy program outcomes cohort graduation rate,,2022,
450,Hofstra University,,New York,MOT,,url_found_low_confidence,3,low,https://www.hofstra.edu/sites/default/files/2021-01/iraa-outcomes-grad-hphs.pdf,,https://www.hofstra.edu/outcome-assessment/outcomes.html,Hofstra University Master of Occupational Therapy program outcomes cohort graduation rate,,2021,
482,Kettering College,,Ohio,OTD,,url_found_low_confidence,3,low,https://plattcollege.edu/wp-content/uploads/2022/12/OTA-Program-Outcomes-Disclosure.pdf,,https://www.keiseruniversity.edu/wp-content/uploads/as-programs/AA-OTA-Outcomes.pdf,Kettering College Doctor of Occupational Therapy program outcomes cohort graduation rate,,2022,
488,Shawnee State University,,Ohio,MOT,,url_found_low_confidence,3,low,https://www.shawnee.edu/sites/default/files/2019-01/MOT-2017-handbook-ACOTE.pdf,,https://www.shawnee.edu/sites/default/files/documents/2025-2026-MOT-Handbook.pdf,Shawnee State University Master of Occupational Therapy Publication of Program Outcomes,,2019,
506,Carlow University,,Pennsylvania,MOT,,url_found_low_confidence,3,low,https://www.carlow.edu/wp-content/uploads/2021/07/ms-in-occupational-therapy-mission-program-outcomes.pdf,,https://www.carlow.edu/wp-content/uploads/2023/06/carlow_msot_mission_student_learning_outcomes.pdf,Carlow University Master of Occupational Therapy Publication of Program Outcomes,,2021,
525,Presbyterian College,,South Carolina,OTD,,url_found_low_confidence,3,low,https://plattcollege.edu/wp-content/uploads/2022/12/OTA-Program-Outcomes-Disclosure.pdf,,https://www.keiseruniversity.edu/wp-content/uploads/as-programs/AA-OTA-Outcomes.pdf,Presbyterian College Doctor of Occupational Therapy program outcomes cohort graduation rate,"Error q3: HTTPSConnectionPool(host='google.serper.dev', port=443): Max retries exceeded with url: /search (Caused by NameResolutionError(""HTTPSConnection(host='google.serper.dev', port=443): Failed to resolve 'google.serper.dev' ([Errno 11001] getaddrinfo failed)""))",2022,
564,Concordia University Wisconsin,,Wisconsin,OTD,,url_found_low_confidence,3,low,https://celt.cuw.edu/wp-content/uploads/2014/10/Concordia-University-Wisconsin-Graduate-Rates-Version-2.pdf,,https://blog.cuw.edu/concordia-university-wisconsins-occupational-therapy-class-notches-100-first-attempt-pass-rate/,Concordia University Wisconsin Doctor of Occupational Therapy program outcomes cohort graduation rate,,2014,
569,Concordia University Wisconsin,,Wisconsin,MOT,,url_found_low_confidence,3,low,https://celt.cuw.edu/wp-content/uploads/2014/10/Concordia-University-Wisconsin-Graduate-Rates-Version-2.pdf,,https://www.cuw.edu/about/offices/institutional-effectiveness/_assets/12Month-EnrollmentCensusReport.pdf,Concordia University Wisconsin Master of Occupational Therapy program outcomes cohort graduation rate,,2014,
566,Mount Mary University,,Wisconsin,OTD,,url_found_low_confidence,3,low,https://www.umary.edu/sites/default/files/2022-01/OT-NBCOT-Pass-Rates.pdf,,https://stmary.edu/ot/otdoutcomes.html,Mount Mary University OTD ACOTE outcomes data,,2022,
570,Mount Mary University,,Wisconsin,MOT,,url_found_low_confidence,3,low,https://www.umary.edu/sites/default/files/2022-01/OT-NBCOT-Pass-Rates.pdf,,https://mtmary.edu/footer/documents/graduate-outcomes-2020-2024.pdf,Mount Mary University MOT ACOTE outcomes data,,2022,
526,University of South Dakota,,South Dakota,OTD,,url_not_found,3,,,,,,"Error q1: HTTPSConnectionPool(host='google.serper.dev', port=443): Max retries exceeded with url: /search (Caused by NameResolutionError(""HTTPSConnection(host='google.serper.dev', port=443): Failed to resolve 'google.serper.dev' ([Errno 11001] getaddrinfo failed)"")) | Error q2: HTTPSConnectionPool(host='google.serper.dev', port=443): Max retries exceeded with url: /search (Caused by NameResolutionError(""HTTPSConnection(host='google.serper.dev', port=443): Failed to resolve 'google.serper.dev' ([Errno 11001] getaddrinfo failed)"")) | Error q3: HTTPSConnectionPool(host='google.serper.dev', port=443): Max retries exceeded with url: /search (Caused by NameResolutionError(""HTTPSConnection(host='google.serper.dev', port=443): Failed to resolve 'google.serper.dev' ([Errno 11001] getaddrinfo failed)""))",,
530,Belmont University,,Tennessee,MOT,,url_not_found,3,,,,,,"Error q1: HTTPSConnectionPool(host='google.serper.dev', port=443): Max retries exceeded with url: /search (Caused by NameResolutionError(""HTTPSConnection(host='google.serper.dev', port=443): Failed to resolve 'google.serper.dev' ([Errno 11001] getaddrinfo failed)"")) | Error q2: HTTPSConnectionPool(host='google.serper.dev', port=443): Max retries exceeded with url: /search (Caused by NameResolutionError(""HTTPSConnection(host='google.serper.dev', port=443): Failed to resolve 'google.serper.dev' ([Errno 11001] getaddrinfo failed)"")) | Error q3: HTTPSConnectionPool(host='google.serper.dev', port=443): Max retries exceeded with url: /search (Caused by NameResolutionError(""HTTPSConnection(host='google.serper.dev', port=443): Failed to resolve 'google.serper.dev' ([Errno 11001] getaddrinfo failed)""))",,
527,Belmont University,,Tennessee,OTD,,url_not_found,3,,,,,,"Error q1: HTTPSConnectionPool(host='google.serper.dev', port=443): Max retries exceeded with url: /search (Caused by NameResolutionError(""HTTPSConnection(host='google.serper.dev', port=443): Failed to resolve 'google.serper.dev' ([Errno 11001] getaddrinfo failed)"")) | Error q2: HTTPSConnectionPool(host='google.serper.dev', port=443): Max retries exceeded with url: /search (Caused by NameResolutionError(""HTTPSConnection(host='google.serper.dev', port=443): Failed to resolve 'google.serper.dev' ([Errno 11001] getaddrinfo failed)"")) | Error q3: HTTPSConnectionPool(host='google.serper.dev', port=443): Max retries exceeded with url: /search (Caused by NameResolutionError(""HTTPSConnection(host='google.serper.dev', port=443): Failed to resolve 'google.serper.dev' ([Errno 11001] getaddrinfo failed)""))",,
528,Lincoln Memorial University,,Tennessee,OTD,,url_not_found,3,,,,,,"Error q1: HTTPSConnectionPool(host='google.serper.dev', port=443): Max retries exceeded with url: /search (Caused by NameResolutionError(""HTTPSConnection(host='google.serper.dev', port=443): Failed to resolve 'google.serper.dev' ([Errno 11001] getaddrinfo failed)"")) | Error q2: HTTPSConnectionPool(host='google.serper.dev', port=443): Max retries exceeded with url: /search (Caused by NameResolutionError(""HTTPSConnection(host='google.serper.dev', port=443): Failed to resolve 'google.serper.dev' ([Errno 11001] getaddrinfo failed)"")) | Error q3: HTTPSConnectionPool(host='google.serper.dev', port=443): Max retries exceeded with url: /search (Caused by NameResolutionError(""HTTPSConnection(host='google.serper.dev', port=443): Failed to resolve 'google.serper.dev' ([Errno 11001] getaddrinfo failed)""))",,
534,University of Tennessee Health Science Center,,Tennessee,MOT,,url_not_found,3,,,,,,"Error q1: HTTPSConnectionPool(host='google.serper.dev', port=443): Max retries exceeded with url: /search (Caused by NameResolutionError(""HTTPSConnection(host='google.serper.dev', port=443): Failed to resolve 'google.serper.dev' ([Errno 11001] getaddrinfo failed)"")) | Error q2: HTTPSConnectionPool(host='google.serper.dev', port=443): Max retries exceeded with url: /search (Caused by NameResolutionError(""HTTPSConnection(host='google.serper.dev', port=443): Failed to resolve 'google.serper.dev' ([Errno 11001] getaddrinfo failed)"")) | Error q3: HTTPSConnectionPool(host='google.serper.dev', port=443): Max retries exceeded with url: /search (Caused by NameResolutionError(""HTTPSConnection(host='google.serper.dev', port=443): Failed to resolve 'google.serper.dev' ([Errno 11001] getaddrinfo failed)""))",,
533,Tennessee Wesleyan University - Downtown Knoxville Site,,Tennessee,MOT,,url_not_found,3,,,,,,"Error q1: HTTPSConnectionPool(host='google.serper.dev', port=443): Max retries exceeded with url: /search (Caused by NameResolutionError(""HTTPSConnection(host='google.serper.dev', port=443): Failed to resolve 'google.serper.dev' ([Errno 11001] getaddrinfo failed)"")) | Error q2: HTTPSConnectionPool(host='google.serper.dev', port=443): Max retries exceeded with url: /search (Caused by NameResolutionError(""HTTPSConnection(host='google.serper.dev', port=443): Failed to resolve 'google.serper.dev' ([Errno 11001] getaddrinfo failed)"")) | Error q3: HTTPSConnectionPool(host='google.serper.dev', port=443): Max retries exceeded with url: /search (Caused by NameResolutionError(""HTTPSConnection(host='google.serper.dev', port=443): Failed to resolve 'google.serper.dev' ([Errno 11001] getaddrinfo failed)""))",,
532,Tennessee State University,,Tennessee,MOT,,url_not_found,3,,,,,,"Error q1: HTTPSConnectionPool(host='google.serper.dev', port=443): Max retries exceeded with url: /search (Caused by NameResolutionError(""HTTPSConnection(host='google.serper.dev', port=443): Failed to resolve 'google.serper.dev' ([Errno 11001] getaddrinfo failed)"")) | Error q2: HTTPSConnectionPool(host='google.serper.dev', port=443): Max retries exceeded with url: /search (Caused by NameResolutionError(""HTTPSConnection(host='google.serper.dev', port=443): Failed to resolve 'google.serper.dev' ([Errno 11001] getaddrinfo failed)"")) | Error q3: HTTPSConnectionPool(host='google.serper.dev', port=443): Max retries exceeded with url: /search (Caused by NameResolutionError(""HTTPSConnection(host='google.serper.dev', port=443): Failed to resolve 'google.serper.dev' ([Errno 11001] getaddrinfo failed)""))",,
531,Milligan University,,Tennessee,MOT,,url_not_found,3,,,,,,"Error q1: HTTPSConnectionPool(host='google.serper.dev', port=443): Max retries exceeded with url: /search (Caused by NameResolutionError(""HTTPSConnection(host='google.serper.dev', port=443): Failed to resolve 'google.serper.dev' ([Errno 11001] getaddrinfo failed)"")) | Error q2: HTTPSConnectionPool(host='google.serper.dev', port=443): Max retries exceeded with url: /search (Caused by NameResolutionError(""HTTPSConnection(host='google.serper.dev', port=443): Failed to resolve 'google.serper.dev' ([Errno 11001] getaddrinfo failed)"")) | Error q3: HTTPSConnectionPool(host='google.serper.dev', port=443): Max retries exceeded with url: /search (Caused by NameResolutionError(""HTTPSConnection(host='google.serper.dev', port=443): Failed to resolve 'google.serper.dev' ([Errno 11001] getaddrinfo failed)""))",,
529,University of Tennessee at Chattanooga,,Tennessee,OTD,,url_not_found,3,,,,,,"Error q1: HTTPSConnectionPool(host='google.serper.dev', port=443): Max retries exceeded with url: /search (Caused by NameResolutionError(""HTTPSConnection(host='google.serper.dev', port=443): Failed to resolve 'google.serper.dev' ([Errno 11001] getaddrinfo failed)"")) | Error q2: HTTPSConnectionPool(host='google.serper.dev', port=443): Max retries exceeded with url: /search (Caused by NameResolutionError(""HTTPSConnection(host='google.serper.dev', port=443): Failed to resolve 'google.serper.dev' ([Errno 11001] getaddrinfo failed)"")) | Error q3: HTTPSConnectionPool(host='google.serper.dev', port=443): Max retries exceeded with url: /search (Caused by NameResolutionError(""HTTPSConnection(host='google.serper.dev', port=443): Failed to resolve 'google.serper.dev' ([Errno 11001] getaddrinfo failed)""))",,
544,Abilene Christian University,,Texas,MOT,,url_not_found,3,,,,,,"Error q1: HTTPSConnectionPool(host='google.serper.dev', port=443): Max retries exceeded with url: /search (Caused by NameResolutionError(""HTTPSConnection(host='google.serper.dev', port=443): Failed to resolve 'google.serper.dev' ([Errno 11001] getaddrinfo failed)"")) | Error q2: HTTPSConnectionPool(host='google.serper.dev', port=443): Max retries exceeded with url: /search (Caused by NameResolutionError(""HTTPSConnection(host='google.serper.dev', port=443): Failed to resolve 'google.serper.dev' ([Errno 11001] getaddrinfo failed)"")) | Error q3: HTTPSConnectionPool(host='google.serper.dev', port=443): Max retries exceeded with url: /search (Caused by NameResolutionError(""HTTPSConnection(host='google.serper.dev', port=443): Failed to resolve 'google.serper.dev' ([Errno 11001] getaddrinfo failed)""))",,
535,Abilene Christian University,,Texas,OTD,,url_not_found,3,,,,,,"Error q1: HTTPSConnectionPool(host='google.serper.dev', port=443): Max retries exceeded with url: /search (Caused by NameResolutionError(""HTTPSConnection(host='google.serper.dev', port=443): Failed to resolve 'google.serper.dev' ([Errno 11001] getaddrinfo failed)"")) | Error q2: HTTPSConnectionPool(host='google.serper.dev', port=443): Max retries exceeded with url: /search (Caused by NameResolutionError(""HTTPSConnection(host='google.serper.dev', port=443): Failed to resolve 'google.serper.dev' ([Errno 11001] getaddrinfo failed)"")) | Error q3: HTTPSConnectionPool(host='google.serper.dev', port=443): Max retries exceeded with url: /search (Caused by NameResolutionError(""HTTPSConnection(host='google.serper.dev', port=443): Failed to resolve 'google.serper.dev' ([Errno 11001] getaddrinfo failed)""))",,
536,Baylor University,,Texas,OTD,,url_not_found,3,,,,,,"Error q1: HTTPSConnectionPool(host='google.serper.dev', port=443): Max retries exceeded with url: /search (Caused by NameResolutionError(""HTTPSConnection(host='google.serper.dev', port=443): Failed to resolve 'google.serper.dev' ([Errno 11001] getaddrinfo failed)"")) | Error q2: HTTPSConnectionPool(host='google.serper.dev', port=443): Max retries exceeded with url: /search (Caused by NameResolutionError(""HTTPSConnection(host='google.serper.dev', port=443): Failed to resolve 'google.serper.dev' ([Errno 11001] getaddrinfo failed)"")) | Error q3: HTTPSConnectionPool(host='google.serper.dev', port=443): Max retries exceeded with url: /search (Caused by NameResolutionError(""HTTPSConnection(host='google.serper.dev', port=443): Failed to resolve 'google.serper.dev' ([Errno 11001] getaddrinfo failed)""))",,
545,University of Mary Hardin-Baylor,,Texas,MOT,,url_not_found,3,,,,,,"Error q1: HTTPSConnectionPool(host='google.serper.dev', port=443): Max retries exceeded with url: /search (Caused by NameResolutionError(""HTTPSConnection(host='google.serper.dev', port=443): Failed to resolve 'google.serper.dev' ([Errno 11001] getaddrinfo failed)"")) | Error q2: HTTPSConnectionPool(host='google.serper.dev', port=443): Max retries exceeded with url: /search (Caused by NameResolutionError(""HTTPSConnection(host='google.serper.dev', port=443): Failed to resolve 'google.serper.dev' ([Errno 11001] getaddrinfo failed)"")) | Error q3: HTTPSConnectionPool(host='google.serper.dev', port=443): Max retries exceeded with url: /search (Caused by NameResolutionError(""HTTPSConnection(host='google.serper.dev', port=443): Failed to resolve 'google.serper.dev' ([Errno 11001] getaddrinfo failed)""))",,
539,U.S. Army Medical Center of Excellence/Baylor University,,Texas,OTD,,url_not_found,3,,,,,,"Error q1: HTTPSConnectionPool(host='google.serper.dev', port=443): Max retries exceeded with url: /search (Caused by NameResolutionError(""HTTPSConnection(host='google.serper.dev', port=443): Failed to resolve 'google.serper.dev' ([Errno 11001] getaddrinfo failed)"")) | Error q2: HTTPSConnectionPool(host='google.serper.dev', port=443): Max retries exceeded with url: /search (Caused by NameResolutionError(""HTTPSConnection(host='google.serper.dev', port=443): Failed to resolve 'google.serper.dev' ([Errno 11001] getaddrinfo failed)"")) | Error q3: HTTPSConnectionPool(host='google.serper.dev', port=443): Max retries exceeded with url: /search (Caused by NameResolutionError(""HTTPSConnection(host='google.serper.dev', port=443): Failed to resolve 'google.serper.dev' ([Errno 11001] getaddrinfo failed)""))",,
538,Texas Woman's University,,Texas,OTD,,url_not_found,3,,,,,,"Error q1: HTTPSConnectionPool(host='google.serper.dev', port=443): Max retries exceeded with url: /search (Caused by NameResolutionError(""HTTPSConnection(host='google.serper.dev', port=443): Failed to resolve 'google.serper.dev' ([Errno 11001] getaddrinfo failed)"")) | Error q2: HTTPSConnectionPool(host='google.serper.dev', port=443): Max retries exceeded with url: /search (Caused by NameResolutionError(""HTTPSConnection(host='google.serper.dev', port=443): Failed to resolve 'google.serper.dev' ([Errno 11001] getaddrinfo failed)"")) | Error q3: HTTPSConnectionPool(host='google.serper.dev', port=443): Max retries exceeded with url: /search (Caused by NameResolutionError(""HTTPSConnection(host='google.serper.dev', port=443): Failed to resolve 'google.serper.dev' ([Errno 11001] getaddrinfo failed)""))",,
537,Texas Tech University Health Sciences Center,,Texas,OTD,,url_not_found,3,,,,,,"Error q1: HTTPSConnectionPool(host='google.serper.dev', port=443): Max retries exceeded with url: /search (Caused by NameResolutionError(""HTTPSConnection(host='google.serper.dev', port=443): Failed to resolve 'google.serper.dev' ([Errno 11001] getaddrinfo failed)"")) | Error q2: HTTPSConnectionPool(host='google.serper.dev', port=443): Max retries exceeded with url: /search (Caused by NameResolutionError(""HTTPSConnection(host='google.serper.dev', port=443): Failed to resolve 'google.serper.dev' ([Errno 11001] getaddrinfo failed)"")) | Error q3: HTTPSConnectionPool(host='google.serper.dev', port=443): Max retries exceeded with url: /search (Caused by NameResolutionError(""HTTPSConnection(host='google.serper.dev', port=443): Failed to resolve 'google.serper.dev' ([Errno 11001] getaddrinfo failed)""))",,
546,"University of St. Augustine for Health Sciences, Austin Campus",,Texas,MOT,,url_not_found,3,,,,,,"Error q1: HTTPSConnectionPool(host='google.serper.dev', port=443): Max retries exceeded with url: /search (Caused by NameResolutionError(""HTTPSConnection(host='google.serper.dev', port=443): Failed to resolve 'google.serper.dev' ([Errno 11001] getaddrinfo failed)"")) | Error q2: HTTPSConnectionPool(host='google.serper.dev', port=443): Max retries exceeded with url: /search (Caused by NameResolutionError(""HTTPSConnection(host='google.serper.dev', port=443): Failed to resolve 'google.serper.dev' ([Errno 11001] getaddrinfo failed)"")) | Error q3: HTTPSConnectionPool(host='google.serper.dev', port=443): Max retries exceeded with url: /search (Caused by NameResolutionError(""HTTPSConnection(host='google.serper.dev', port=443): Failed to resolve 'google.serper.dev' ([Errno 11001] getaddrinfo failed)""))",,
540,"University of St. Augustine for Health Sciences, Austin Campus",,Texas,OTD,,url_not_found,3,,,,,,"Error q1: HTTPSConnectionPool(host='google.serper.dev', port=443): Max retries exceeded with url: /search (Caused by NameResolutionError(""HTTPSConnection(host='google.serper.dev', port=443): Failed to resolve 'google.serper.dev' ([Errno 11001] getaddrinfo failed)"")) | Error q2: HTTPSConnectionPool(host='google.serper.dev', port=443): Max retries exceeded with url: /search (Caused by NameResolutionError(""HTTPSConnection(host='google.serper.dev', port=443): Failed to resolve 'google.serper.dev' ([Errno 11001] getaddrinfo failed)"")) | Error q3: HTTPSConnectionPool(host='google.serper.dev', port=443): Max retries exceeded with url: /search (Caused by NameResolutionError(""HTTPSConnection(host='google.serper.dev', port=443): Failed to resolve 'google.serper.dev' ([Errno 11001] getaddrinfo failed)""))",,
